OnsetTime	OffsetTime	MidiPitch
39.2323	40.3644	42
40.3644	40.9199	66
40.3644	40.9199	71
40.3644	40.6421	75
40.3644	43.8146	61
40.6421	40.9199	77
40.9199	43.8146	66
40.9199	43.8146	70
40.9199	43.8146	73
40.9199	43.8146	54
42.031	43.8146	49
42.6496	43.8146	42
43.8146	44.3601	66
43.8146	44.3601	71
43.8146	44.0874	75
43.8146	45.4083	61
44.0874	44.3601	77
44.3601	45.4083	66
44.3601	45.4361	70
44.3601	45.4361	73
44.3601	45.4361	54
44.8911	45.4361	78
45.4083	45.9639	66
45.4083	45.9639	71
45.4083	45.6861	75
45.4083	47.0166	61
45.6861	45.9639	77
45.9639	47.0166	66
45.9639	47.0444	70
45.9639	47.0444	73
45.9639	47.0444	54
46.4948	47.0444	78
47.0166	47.5721	66
47.0166	47.5721	71
47.0166	47.2944	75
47.0166	49.7864	61
47.2944	47.5721	77
47.5721	48.6686	66
47.5721	48.6686	70
47.5721	48.6686	73
47.5721	48.6686	54
48.1079	49.1996	78
48.6686	49.7864	66
48.6686	49.7864	70
48.6686	49.7864	73
48.6686	49.7603	47
48.6686	49.7864	54
49.1996	49.7603	78
49.7603	53.4963	71
49.7603	50.8376	75
49.7603	50.2821	78
49.7603	53.4963	40
49.7603	53.4963	47
50.2821	53.4963	83
50.8376	53.4963	73
50.8376	53.4963	75
50.8376	53.4963	81
50.8376	53.4963	69
51.6341	53.4963	79
51.6341	53.4963	67
51.8927	52.4343	78
51.8927	52.4343	66
52.4343	53.4963	78
52.4343	53.4963	66
53.4963	55.6485	71
53.4963	54.0518	79
53.4963	55.6485	67
54.0518	54.9345	78
54.0518	55.6792	66
54.8483	55.0207	76
54.8483	55.6792	64
54.9345	55.6792	78
55.0207	55.6792	76
55.1069	55.6485	74
55.1069	55.6485	62
55.6485	56.873	67
55.6485	56.873	71
55.6485	56.873	74
55.6485	56.873	55
55.6485	56.8679	62
56.873	57.4385	62
56.873	57.4385	47
57.1385	57.4385	64
57.1385	57.4385	49
57.4385	59.0789	59
57.4385	59.0419	66
57.4385	59.0789	50
58.4915	60.676	42
59.0419	59.8245	58
59.0419	59.8245	66
59.0419	59.8245	52
59.8245	60.0973	61
59.8245	60.0973	70
59.8245	60.0973	54
60.0973	60.6557	64
60.0973	60.6557	73
60.0973	60.6557	55
60.37	60.676	66
60.37	60.676	74
60.6557	61.2368	64
60.6557	61.2368	73
60.6557	63.3887	47
60.6557	61.2368	55
61.1962	63.3887	62
61.1962	63.3887	71
61.1962	63.3887	54
61.7726	63.3887	42
62.4468	63.3887	35
63.6589	64.1899	78
63.6589	64.1899	66
64.1899	65.7866	67
64.1899	65.7866	70
64.1899	64.9863	76
64.1899	64.9863	64
64.9863	65.245	74
64.9863	65.245	62
65.245	65.7866	73
65.245	65.7866	61
65.7866	67.4035	65
65.7866	67.4035	68
65.7866	66.8462	74
65.7866	66.8462	62
66.5831	67.4035	71
66.5831	67.4035	59
66.8462	67.4035	74
66.8462	67.4035	62
67.4035	70.3146	66
67.4035	70.3146	70
67.4035	70.3146	73
67.4035	70.3146	61
68.5146	70.3146	49
69.1146	70.3146	42
70.3146	70.8456	78
70.3146	70.8456	66
70.8456	72.4423	67
70.8456	72.4423	70
70.8456	71.642	77
70.8456	71.642	65
71.642	71.9006	76
71.642	71.9006	64
71.9006	72.1592	74
71.9006	72.1592	62
72.1592	72.4423	73
72.1592	72.4423	61
72.4423	74.0591	65
72.4423	74.0591	68
72.4423	74.0591	76
72.4423	74.0591	64
73.2387	73.765	74
73.2387	73.765	62
73.5019	74.0591	71
73.5019	74.0591	59
73.765	74.0591	74
73.765	74.0591	62
74.0591	76.9653	66
74.0591	76.9653	70
74.0591	76.9653	73
74.0591	76.9653	61
75.1702	76.9653	49
75.7888	76.9653	42
76.9653	77.5208	66
76.9653	77.5208	71
76.9653	77.2431	75
76.9653	80.3934	61
77.2431	77.5208	77
77.5208	80.3934	66
77.5208	80.3934	70
77.5208	80.3934	73
77.5208	80.3934	54
78.6319	80.3934	49
79.2505	80.3934	42
80.3934	80.9388	66
80.3934	80.9388	71
80.3934	80.6661	75
80.3934	81.9826	61
80.6661	80.9388	77
80.9388	81.9826	66
80.9388	82.0097	70
80.9388	82.0097	73
80.9388	82.0097	54
81.4698	82.0097	78
81.9826	82.5232	66
81.9826	82.5232	71
81.9826	82.2529	75
81.9826	83.567	61
82.2529	82.5232	77
82.5232	83.567	66
82.5232	83.5943	70
82.5232	83.5943	73
82.5232	83.5943	54
83.0542	83.5943	78
83.567	84.1124	66
83.567	84.1124	71
83.567	83.8397	75
83.567	86.3267	61
83.8397	84.1124	77
84.1124	85.2089	66
84.1124	85.2089	70
84.1124	85.2089	73
84.1124	85.2089	54
84.6482	85.7399	78
85.2089	86.3267	66
85.2089	86.3267	70
85.2089	86.3267	73
85.2089	86.3006	47
85.2089	86.3267	54
85.7399	86.3006	78
86.3006	90.0366	71
86.3006	87.3779	75
86.3006	86.8223	78
86.3006	90.0366	40
86.3006	90.0366	47
86.8223	90.0366	83
87.3779	90.0366	73
87.3779	90.0366	75
87.3779	90.0366	81
87.3934	90.0366	69
88.1744	90.0366	79
88.1744	90.0366	67
88.433	88.9746	78
88.433	88.9746	66
88.9746	90.0366	78
88.9746	90.0366	66
90.0366	92.1888	71
90.0366	90.5921	79
90.0366	92.1888	67
90.5921	91.4748	78
90.5921	92.2195	66
91.3886	91.561	76
91.3886	92.2195	64
91.4748	92.2195	78
91.561	92.2195	76
91.6472	92.1888	74
91.6472	92.1888	62
92.1888	93.4133	67
92.1888	93.4133	71
92.1888	93.4133	74
92.1888	93.4133	55
92.1888	93.4082	62
93.4133	93.9788	62
93.4133	93.9788	47
93.6788	93.9788	64
93.6788	93.9788	49
93.9788	95.698	59
93.9788	95.6583	66
93.9788	95.698	50
95.0701	97.4778	42
95.6583	96.4995	58
95.6583	96.4995	66
95.6583	96.4995	52
96.4995	96.8087	61
96.4995	96.8087	70
96.4995	96.8087	54
96.8087	97.4551	64
96.8087	97.4551	73
96.8087	97.4551	55
97.118	97.4778	66
97.118	97.4778	74
97.4551	98.1066	64
97.4551	98.1066	73
97.4551	100.846	47
97.4551	98.1066	55
98.0611	100.846	62
98.0611	100.846	71
98.0611	100.846	54
98.7171	100.846	42
99.5504	100.846	35
